"id","number","capa","orden_geoserver","file_name","rule_name","rule_desc","filter","tipoFiltro","predicados","valores","min_scale_denom","max_scale_denom","max_zoom","min_zoom","symbolizer","PointSymbolizer","LineSymbolizer","PolygonSymbolizer","TextSymbolizer"
2,2,"argenmap:ne_10m_bathymetry_k_200","2","batimetria_gris_200.sld",NA,NA,"","","1","",1000,300000000,19,1,"",NA,NA,"<se:PolygonSymbolizer>
  <se:Fill>
    <se:SvgParameter name=""fill"">#C9C9C9</se:SvgParameter>
  </se:Fill>
  <se:Stroke>
    <se:SvgParameter name=""stroke"">#C9C9C9</se:SvgParameter>
    <se:SvgParameter name=""stroke-width"">1</se:SvgParameter>
    <se:SvgParameter name=""stroke-linejoin"">bevel</se:SvgParameter>
  </se:Stroke>
</se:PolygonSymbolizer>",NA
2,3,"argenmap:ne_10m_bathymetry_k_200","2","batimetria_gris_200.sld",NA,NA,"","","1","",1000,300000000,19,1,"",NA,NA,"<se:PolygonSymbolizer>
  <se:Fill>
    <se:SvgParameter name=""fill"">#C9C9C9</se:SvgParameter>
  </se:Fill>
  <se:Stroke>
    <se:SvgParameter name=""stroke"">#C9C9C9</se:SvgParameter>
    <se:SvgParameter name=""stroke-width"">1</se:SvgParameter>
    <se:SvgParameter name=""stroke-linejoin"">bevel</se:SvgParameter>
  </se:Stroke>
</se:PolygonSymbolizer>",NA
2,4,"argenmap:ne_10m_bathymetry_k_200","2","batimetria_gris_200.sld",NA,NA,"","","1","",1000,300000000,19,1,"",NA,NA,"<se:PolygonSymbolizer>
  <se:Fill>
    <se:SvgParameter name=""fill"">#C9C9C9</se:SvgParameter>
  </se:Fill>
  <se:Stroke>
    <se:SvgParameter name=""stroke"">#C9C9C9</se:SvgParameter>
    <se:SvgParameter name=""stroke-width"">1</se:SvgParameter>
    <se:SvgParameter name=""stroke-linejoin"">bevel</se:SvgParameter>
  </se:Stroke>
</se:PolygonSymbolizer>",NA
2,5,"argenmap:ne_10m_bathymetry_k_200","2","batimetria_gris_200.sld",NA,NA,"","","1","",1000,300000000,19,1,"",NA,NA,"<se:PolygonSymbolizer>
  <se:Fill>
    <se:SvgParameter name=""fill"">#C9C9C9</se:SvgParameter>
  </se:Fill>
  <se:Stroke>
    <se:SvgParameter name=""stroke"">#C9C9C9</se:SvgParameter>
    <se:SvgParameter name=""stroke-width"">1</se:SvgParameter>
    <se:SvgParameter name=""stroke-linejoin"">bevel</se:SvgParameter>
  </se:Stroke>
</se:PolygonSymbolizer>",NA
2,6,"argenmap:ne_10m_bathymetry_k_200","2","batimetria_gris_200.sld",NA,NA,"","","1","",1000,300000000,19,1,"",NA,NA,"<se:PolygonSymbolizer>
  <se:Fill>
    <se:SvgParameter name=""fill"">#C9C9C9</se:SvgParameter>
  </se:Fill>
  <se:Stroke>
    <se:SvgParameter name=""stroke"">#C9C9C9</se:SvgParameter>
    <se:SvgParameter name=""stroke-width"">1</se:SvgParameter>
    <se:SvgParameter name=""stroke-linejoin"">bevel</se:SvgParameter>
  </se:Stroke>
</se:PolygonSymbolizer>",NA
2,7,"argenmap:ne_10m_bathymetry_k_200","2","batimetria_gris_200.sld",NA,NA,"","","1","",1000,300000000,19,1,"",NA,NA,"<se:PolygonSymbolizer>
  <se:Fill>
    <se:SvgParameter name=""fill"">#C9C9C9</se:SvgParameter>
  </se:Fill>
  <se:Stroke>
    <se:SvgParameter name=""stroke"">#C9C9C9</se:SvgParameter>
    <se:SvgParameter name=""stroke-width"">1</se:SvgParameter>
    <se:SvgParameter name=""stroke-linejoin"">bevel</se:SvgParameter>
  </se:Stroke>
</se:PolygonSymbolizer>",NA
2,8,"argenmap:ne_10m_bathymetry_k_200","2","batimetria_gris_200.sld",NA,NA,"","","1","",1000,300000000,19,1,"",NA,NA,"<se:PolygonSymbolizer>
  <se:Fill>
    <se:SvgParameter name=""fill"">#C9C9C9</se:SvgParameter>
  </se:Fill>
  <se:Stroke>
    <se:SvgParameter name=""stroke"">#C9C9C9</se:SvgParameter>
    <se:SvgParameter name=""stroke-width"">1</se:SvgParameter>
    <se:SvgParameter name=""stroke-linejoin"">bevel</se:SvgParameter>
  </se:Stroke>
</se:PolygonSymbolizer>",NA
2,9,"argenmap:ne_10m_bathymetry_k_200","2","batimetria_gris_200.sld",NA,NA,"","","1","",1000,300000000,19,1,"",NA,NA,"<se:PolygonSymbolizer>
  <se:Fill>
    <se:SvgParameter name=""fill"">#C9C9C9</se:SvgParameter>
  </se:Fill>
  <se:Stroke>
    <se:SvgParameter name=""stroke"">#C9C9C9</se:SvgParameter>
    <se:SvgParameter name=""stroke-width"">1</se:SvgParameter>
    <se:SvgParameter name=""stroke-linejoin"">bevel</se:SvgParameter>
  </se:Stroke>
</se:PolygonSymbolizer>",NA
2,10,"argenmap:ne_10m_bathymetry_k_200","2","batimetria_gris_200.sld",NA,NA,"","","1","",1000,300000000,19,1,"",NA,NA,"<se:PolygonSymbolizer>
  <se:Fill>
    <se:SvgParameter name=""fill"">#C9C9C9</se:SvgParameter>
  </se:Fill>
  <se:Stroke>
    <se:SvgParameter name=""stroke"">#C9C9C9</se:SvgParameter>
    <se:SvgParameter name=""stroke-width"">1</se:SvgParameter>
    <se:SvgParameter name=""stroke-linejoin"">bevel</se:SvgParameter>
  </se:Stroke>
</se:PolygonSymbolizer>",NA
2,11,"argenmap:ne_10m_bathymetry_k_200","2","batimetria_gris_200.sld",NA,NA,"","","1","",1000,300000000,19,1,"",NA,NA,"<se:PolygonSymbolizer>
  <se:Fill>
    <se:SvgParameter name=""fill"">#C9C9C9</se:SvgParameter>
  </se:Fill>
  <se:Stroke>
    <se:SvgParameter name=""stroke"">#C9C9C9</se:SvgParameter>
    <se:SvgParameter name=""stroke-width"">1</se:SvgParameter>
    <se:SvgParameter name=""stroke-linejoin"">bevel</se:SvgParameter>
  </se:Stroke>
</se:PolygonSymbolizer>",NA
